"Boyut,Ag?rl?k,Tatl?l?k,Yumu?akl?k,Hasatzaman?,Olgunluk,Asitlik,Quality"
"-17.348.764,20.953.956,27.751.052,15.903.889,-12.748.858,-2.499.797,9.974.329,Good"
"-10.919.226,7.833.836,26.433.148,-19.475.492,-2.288.653,8.600.234,43.657.756,Good"
"-1.773.823,19.517.813,-76.997.495,-2.829.672,-12.092.512,4.053.067,15.873.269,Good"
"-50.632.133,35.674.894,100.063.406,-19.392.022,-3.320.735,14.901.226,-21.923.363,Good"
"-16.356.269,16.953.909,17.703.257,-33.194.602,-15.336.183,24.760.199,7.356.095,Good"
"2.913.389,21.337.047,10.434.265,-93.177.277,-47.737.563,37.110.271,43.557.134,Good"
"-31.286.151,-13.463.006,2.692.583,-4.088.784,-35.807.538,28.091.087,36.593.312,Good"
"-19.874.913,-3.378.679,13.341.213,-20.045.013,-25.803.137,8.347.128,8.515.842,Good"
"-10.468.731,58.513.683,5.681.669,-16.800.767,-12.553.083,22.402.406,18.337.724,Good"
"-12.958.144,23.270.879,-24.536.698,-4.728.884,-10.010.127,5.034.941,-14.472.395,Good"
"-31.621.642,13.162.487,37.750.936,-3.178.647,-24.002.736,35.589.354,15.702.038,Good"
"-42.750.273,-29.624.793,30.981.534,-22.694.828,-31.881.506,-14.177.927,50.607.365,Good"
"-29.831.877,25.592.719,6.010.216,-21.919.792,-36.970.322,10.716.791,5.065.203,Good"
"-63.589.275,23.831.053,39.324.431,-11.254.821,-2.204.397,13.884.304,68.429.047,Good"
"-14.827.235,293.897,14.123.654,-61.078.835,22.670.315,10.647.331,-9.102.392,Good"
"-13.870.724,1.777.536,10.922.427,-24.063.005,-22.739.697,32.196.486,142.782,Good"
"-21.916.475,15.954.863,-112.367,-9.344.453,-22.832.932,5.651.886,20.994.856,Good"
"-29.193.008,23.993.688,32.069.552,24.007.766,-2.914.152,-6.688.136,16.116.205,Good"
"-14.557.797,34.032.352,46.759.403,-13.006.897,-17.724.029,2.236.535,27.360.988,Good"
"-14.600.099,12.620.077,51.628.953,-21.413.424,-8.903.035,2.043.803,14.447.137,Good"
"-24.701.715,-40.295.655,27.785.246,-3.535.913,-4.230.414,-11.045.184,22.680.295,Good"
"65.042.734,24.372.518,13.018.764,-26.569.257,-11.665.093,15.156.257,84.177.315,Bad"
"-27.672.174,13.933.686,28.253.267,-16.634.135,-1.077.391,1.684.662,1.973.679,Good"
"-24.057.252,38.876.052,17.834.777,2.977.638,-12.948.412,-1.489.806,-23.129.838,Good"
"-13.818.312,30.695.217,2.118.489,11.709.619,-13.932.989,-43.395.865,24.025.316,Good"
"-4.459.031,28.749.578,34.086.447,7.842.844,-75.228.035,7.774.696,-1.343.201,Good"
"7.967.451,21.444.833,9.646.313,-24.084.024,23.789.419,25.474.188,2.407.847,Good"
"-18.237.512,29.918.633,-91.344.464,-11.428.584,-13.860.943,31.878.712,8.909.168,Good"
"-4.168.386,10.174.307,-92.765.975,-21.606.138,-12.300.235,20.766.902,17.873.971,Good"
"-34.094.572,12.969.707,17.262.688,-17.163.247,-47.874.248,5.597.504,-35.872.197,Good"
"14.301.677,2.058.083,39.413.664,-38.579.963,-16.960.899,9.111.488,32.203.295,Good"
"-28.295.854,13.402.065,14.329.735,-22.736.363,-8.891.573,31.140.854,3.068.613,Good"
"-18.810.974,10.236.757,10.589.324,-23.359.833,-17.473.869,937.463,18.468.505,Good"
"4.154.549,26.088.226,-35.453.492,-1.185.906,-1.392.769,87.154.007,26.810.873,Good"
"-24.344.425,17.076.912,2.840.643,-23.867.462,-5.217.774,21.608.734,12.547.796,Good"
"-33.455.584,1.397.701,31.779.535,4.446.863,-24.234.478,-10.078.744,5.205.719,Good"
"-7.019.046,-2.957.956,15.223.948,-10.065.472,-57.891.494,-6.049.193,-14.021.546,Good"
"6.051.786,28.296.223,-83.600.104,-21.597.772,11.022.034,89.273.787,24.598.558,Good"
"-3.342.706,21.473.615,-14.559.861,-4.181.999,-2.937.643,49.233.356,-78.274.745,Good"
"-7.459.803,3.334.276,31.458.468,-2.592.892,-2.240.885,31.189.256,31.556.058,Good"
"-14.121.475,17.639.009,45.319.076,-5.129.293,-8.329.251,30.512.205,37.950.695,Good"
"-46.192.583,14.908.409,28.684.046,-61.187.994,70.240.784,11.621.166,6.106.303,Good"
"40.307.826,27.423.782,11.812.086,-9.624.315,-9.647.435,-5.892.744,-6.248.136,Good"
"-39.641.612,9.455.961,-36.374.483,-2.582.688,-13.018.969,84.760.106,86.315,Good"
"-28.054.879,27.489.004,10.727.813,-23.423.738,-38.895.195,13.027.904,10.844.572,Good"
"-6.146.444,25.637.713,12.302.869,-33.421.566,-22.159.898,16.008.613,17.399.648,Good"
"-44.789.734,24.721.508,11.189.735,-7.211.705,-38.632.712,-93.187.824,-5.415.776,Good"
"-19.464.972,13.651.894,11.812.899,-18.094.163,-26.067.388,17.623.193,-5.402.267,Good"
"-14.007.645,-13.029.007,1.460.394,-4.795.417,-2.441.841,28.599.815,-11.500.756,Good"
"69.558.483,30.194.867,15.082.695,-14.329.835,15.315.741,18.423.502,33.717.215,Good"
"-73.151.433,16.841.085,11.502.434,-7.399.126,-12.086.377,13.895.475,5.800.598,Good"
"-22.592.852,24.820.216,1.419.537,-56.787.634,-2.395.983,178.026,27.185.073,Good"
"-21.482.406,2.208.136,25.112.107,-10.846.949,-43.555.766,355.241,37.354.834,Good"
"-30.227.306,93.029.004,-19.505.752,-14.239.602,55.359.144,18.867.624,6.845.115,Good"
"3.835.092,2.375.724,19.072.149,-19.131.535,-19.102.424,30.549.858,11.360.917,Good"
"-17.865.363,2.547.816,9.745.161,-23.014.942,-17.776.192,18.358.109,15.397.742,Good"
"-22.905.298,13.814.402,4.846.795,-12.699.181,-4.410.009,29.937.873,19.961.085,Good"
"-15.635.833,2.805.105,12.058.406,-47.252.455,-4.394.506,13.361.294,13.473.545,Good"
"-27.322.602,97.499.096,-67.735.416,-30.947.886,-5.525.887,34.067.423,2.679.214,Good"
"-15.187.998,26.943.495,680.777,-11.061.883,-51.800.262,10.059.311,16.749.437,Good"
"-29.728.072,30.030.406,550.055,-1.190.113,-16.404.147,10.683.489,12.543.776,Good"
"-29.802.213,15.415.176,26.991.522,-7.425.072,-32.361.064,-5.550.193,2.907.759,Good"
"-27.430.122,19.673.566,40.897.007,9.513.056,-17.505.243,-14.038.824,5.319.336,Good"
"-14.581.653,24.018.843,38.737.104,-8.070.521,-12.205.238,16.416.202,18.773.072,Good"
"22.758.882,21.824.856,7.564.198,-29.350.653,-98.968.387,34.709.218,27.032.986,Good"
"32.304.046,72.466.636,18.185.782,-33.167.243,-11.269.438,4.669.449,23.419.433,Good"
"-88.646.406,6.808.004,-42.288.616,-13.359.872,-10.511.802,30.228.372,12.657.266,Good"
"8.345.577,25.806.203,22.432.113,13.823.009,-13.818.153,16.349.821,23.693.607,Good"
"-37.887.478,12.101.253,28.288.841,-69.235.945,-30.886.989,-1.497.415,11.904.187,Good"
"9.207.134,1.506.099,45.173.666,-26.140.902,-22.074.875,34.267.564,37.602.835,Good"
"6.468.623,12.726.994,34.633.083,-15.774.839,-12.235.031,-27.729.908,33.302.698,Good"
"-5.349.867,-71.630.603,19.621.345,-16.256.742,-37.276.099,907.798,1.178.062,Good"
"-25.820.017,12.704.562,38.392.892,-20.962.467,-1.059.511,30.109.508,10.122.697,Good"
"16.722.581,23.484.297,473.313,8.191.253,-182.893,-14.313.301,19.627.938,Good"
"-25.776.083,-85.457.426,15.122.564,-4.408.366,-22.316.515,32.567.854,-10.109.663,Good"
"-17.286.189,1.752.398,-9.314.134,-20.816.898,-20.241.055,20.601.456,-574.332,Good"
"-23.518.033,28.673.158,4.011.829,-42.281.854,-17.310.581,7.564.944,-23.810.785,Good"
"-51.009.613,22.523.572,8.044.484,-18.472.369,-6.408.982,2.134.069,-12.955.397,Good"
"-10.431.958,-6.586.964,3.320.319,-4.046.594,-15.181.202,40.027.595,16.114.212,Good"
"-1.082.277,1.601.937,6.362.737,-31.133.828,-12.030.498,24.362.931,56.417.394,Good"
"-69.387.937,35.307.946,2.414.961,-22.303.312,-65.100.396,29.337.456,2.969.004,Good"
"-59.953.725,23.487.502,-51.794.213,-29.336.069,-18.815.243,35.042.086,17.976.323,Good"
"-3.127.672,21.501.286,-11.104.496,-11.125.389,-33.460.124,15.429.002,-17.275.134,Good"
"-6.842.731,6.702.241,35.696.814,-89.625.114,-20.349.379,15.759.368,-53.273.726,Good"
"-16.039.819,27.436.996,21.631.913,14.765.017,30.676.004,-29.695.025,61.768.705,Good"
"-2.121.306,13.474.041,-8.042.386,-15.243.008,-80.509.746,14.699.557,10.867.386,Good"
"-15.408.307,10.428.271,-16.192.257,-28.962.266,-18.678.274,17.142.323,24.492.755,Good"
"-11.050.614,23.596.425,7.279.773,-14.759.414,-28.564.286,11.787.983,22.816.806,Good"
"-10.226.372,13.525.982,21.665.268,-15.930.423,-37.416.488,17.987.777,36.068.983,Good"
"-7.677.847,1.846.654,41.406.336,-8.640.957,-19.419.417,-12.728.739,26.242.661,Good"
"6.401.076,-14.298.962,231.763,-18.191.754,-23.215.325,-40.241.387,18.778.102,Good"
"-14.282.943,1.178.159,-15.224.895,-32.907.038,-34.419.835,36.589.403,-58.840.066,Good"
"-38.890.896,36.870.189,19.490.062,-23.225.835,5.595.166,91.862.684,54.566.157,Good"
"-17.407.107,37.672.603,10.258.707,-30.777.402,-18.784.105,26.825.378,35.305.722,Good"
"18.585.688,36.250.925,27.995.386,-7.325.226,10.148.252,23.461.483,25.647.087,Good"
"-25.383.646,67.557.067,7.426.957,-16.218.493,-21.451.263,15.315.367,76.116.073,Good"
"-37.771.554,23.164.744,4.483.167,13.309.895,-22.456.553,-37.819.389,11.298.295,Good"
"2.045.109,8.542.343,6.223.525,-33.406.775,-18.722.128,25.565.643,43.341.376,Good"
"-22.450.533,3.121.645,30.908.964,5.612.272,-1.131.237,-64.344.627,23.395.152,Good"
"-22.184.415,1.026.863,-17.209.657,-4.305.988,-5.683.453,2.976.207,6.708.465,Good"
"-14.582.314,3.945.816,1.507.555,-17.366.382,-233.348,-42.710.647,1.478.157,Good"
"-45.325.613,-30.276.205,5.037.134,-39.211.397,-22.205.768,17.660.133,5.574.291,Good"
"-53.448.117,48.708.582,12.794.274,-28.634.639,-31.380.777,33.902.612,12.722.311,Good"
"-29.996.377,3.099.281,3.890.927,1.271.697,-98.511.964,85.135.907,3.723.459,Good"
"-23.466.902,16.255.352,-14.503.481,-237.876,-60.419,2.818.651,-16.517.399,Good"
"-23.407.786,17.565.767,9.409.262,-18.758.136,-27.749.186,14.734.136,13.232.547,Good"
"-25.498.488,14.910.758,4.464.446,-1.018.316,-23.490.846,-29.426.017,14.197.048,Good"
"-3.112.292,31.603.048,-22.140.129,-16.964.774,-5.157.817,493.046,24.506.977,Good"
"-36.979.234,2.265.696,7.411.827,14.523.187,-8.317.645,10.551.232,35.339.446,Good"
"17.603.576,22.215.595,77.670.044,-24.536.467,-26.029.756,23.262.742,22.960.994,Good"
"-28.933.299,36.486.363,9.883.548,52.524.596,-6.251.796,-20.117.192,-2.308.847,Good"
"-15.187.712,468.942,14.176.768,6.707.338,-27.142.876,72.414.595,9.312.464,Good"
"-32.222.936,11.286.019,2.123.213,-17.588.495,-26.810.114,2.526.662,42.362.857,Good"
"9.864.433,3.182.032,17.264.277,29.752.952,3.530.824,28.472.824,17.972.252,Good"
"-411.847,10.131.449,-11.295.743,-25.581.481,-2.106.855,11.768.275,-5.847.238,Good"
"-8.395.477,1.581.649,27.151.997,-16.953.173,-20.788.836,13.694.477,-2.072.452,Good"
"67.682.254,-7.193.135,4.735.635,-16.950.958,-25.467.749,23.409.932,94.562.835,Good"
"-79.132.307,38.945.165,35.495.212,6.963.334,-30.411.277,-2.919.589,-5.262.371,Good"
"-27.952.158,-1.510.406,56.035.066,-45.230.985,-10.280.654,33.574.548,23.330.924,Good"
"-23.920.653,13.628.287,88.574.606,-37.637.503,-15.821.425,3.621.962,60.529.494,Good"
"-19.962.093,16.858.122,21.552.176,-15.763.066,-7.824.507,44.129.324,3.635.839,Good"
"-23.183.248,17.555.392,-29.118.004,-12.846.785,-25.658.746,6.829.619,-10.926.199,Good"
"-5.121.984,13.703.856,4.675.206,-44.561.654,-1.062.083,72.991.836,13.928.598,Good"
"-21.048.393,3.369.027,66.926.867,-14.676.912,-4.320.743,17.826.048,7.274.111,Good"
"8.962.859,6.661.307,16.048.188,-1.971.003,-10.506.852,2.614.483,42.629.375,Good"
"-2.059.559,3.081.678,26.954.746,8.764.198,-14.648.284,-39.120.266,15.667.466,Good"
"5.146.884,19.604.497,7.358.553,-11.100.847,-13.139.842,21.762.025,3.156.178,Good"
"-18.598.064,4.698.928,-622.694,-22.141.755,-17.809.322,10.911.603,60.750.824,Good"
"-14.487.318,27.504.954,207.227,-14.564.286,-40.263.146,14.364.066,47.506.833,Good"
"-21.744.294,-4.356.552,-11.605.624,-5.289.837,-10.209.861,64.820.876,8.641.002,Good"
"-8.637.754,1.2897,32.848.856,-13.231.639,-53.622.246,27.008.991,3.299.594,Good"
"-10.354.885,19.047.356,42.297.773,-29.987.574,-14.265.383,663.444,14.121.172,Good"
"-1.332.756,19.092.172,-44.951.153,-20.747.557,-744.933,14.353.424,96.417.177,Good"
"-10.169.821,11.000.152,19.853.115,-21.034.994,-23.986.604,2.721.867,21.746.733,Good"
"-3.666.341,2.184.077,83.789.104,23.710.494,-14.484.013,13.319.583,491.725,Good"
"-2.150.243,27.720.296,24.516.063,11.248.413,-16.060.607,-1.810.687,32.875.924,Good"
"-22.043.538,17.905.352,1.405.411,-15.877.235,-13.018.076,-24.871.218,4.012.866,Good"
"-25.773.213,40.624.304,5.319.736,18.038.313,4.136.109,18.491.306,13.137.797,Good"
"-26.255.922,18.513.501,34.679.224,17.836.237,-14.170.275,-47.213.677,2.827.509,Good"
"-95.734.376,88.869.464,38.630.083,-12.049.536,-11.341.054,88.183.737,23.657.403,Good"
"-231.308,21.135.392,-23.137.724,-31.413.484,-29.278.564,230.517,-11.535.318,Good"
"-24.819.975,17.619.474,67.689.246,-13.982.943,-2.294.402,11.171.652,2.101.544,Good"
"2.589.104,2.002.171,21.867.893,-308.425,-14.002.656,30.454.293,43.865.237,Good"
"-25.497.746,70.435.023,-35.173.327,-14.644.591,-22.381.976,10.630.596,11.744.165,Good"
"-21.748.121,1.981.717,54.278.636,-765.942,60.269.147,6.845.507,1.330.291,Good"
"4.724.205,1.139.578,10.300.981,-2.073.751,-2.726.499,22.820.623,2.414.909,Good"
"-63.341.093,29.718.053,8.285.018,-8.561.297,-14.304.242,21.208.034,16.730.574,Good"
"-2.159.623,16.954.218,-5.265.277,-25.000.842,-33.017.915,35.231.514,2.140.374,Good"
"-4.058.672,17.633.018,23.959.262,-15.723.118,-28.575.046,31.456.003,12.223.654,Good"
"-27.786.538,12.459.319,25.331.237,-15.829.304,-1.813.254,66.115.904,16.450.702,Good"
"-1.150.189,30.630.167,22.102.993,-16.582.882,-11.822.892,21.729.434,2.800.527,Good"
"-2.660.171,14.363.902,14.151.688,-25.676.272,-16.595.082,25.443.213,-20.213.611,Good"
"-34.743.173,977.206,6.744.109,-29.236.562,-23.458.056,30.120.287,36.228.442,Good"
"-11.233.505,22.950.623,7.100.117,-16.963.917,4.278.621,3.710.293,-16.913.209,Good"
"-86.818.886,22.209.566,-7.380.717,-2.006.702,-13.210.757,17.799.473,-23.039.083,Good"
"-2.794.139,27.474.747,80.741.924,-1.174.245,-95.134.914,55.967.665,-59.846.526,Good"
"-13.159.326,39.266.176,19.064.837,53.540.796,-20.214.038,-9.594.359,-10.980.673,Good"
"-13.300.304,2.808.892,78.348.714,-2.344.118,8.048.753,31.956.587,5.292.895,Good"
"10.202.483,80.353.945,28.955.126,-3.528.213,-19.830.768,3.639.026,19.875.635,Good"
"-20.959.601,25.173.094,94.198.376,7.354.982,-2.150.751,-71.432.126,-40.699.646,Good"
"-10.462.282,18.808.309,23.730.137,-6.510.739,-30.423.548,5.713.625,13.866.875,Good"
"-3.208.231,25.444.157,-14.803.036,-9.776.116,-59.616.196,16.244.516,18.006.792,Good"
"20.588.297,24.434.345,57.831.283,18.679.165,-19.802.918,-19.849.571,31.833.975,Good"
"19.194.698,13.632.648,37.641.459,46.792.477,-12.901.614,-10.241.643,5.263.218,Good"
"-4.769.208,-14.314.315,20.545.495,-20.027.032,-32.775.316,28.154.628,3.334.542,Good"
"-23.512.921,20.871.239,-49.882.847,-18.983.299,-1.897.922,14.335.979,-28.917.892,Good"
"-34.124.482,20.290.794,34.049.306,2.795.886,-4.289.706,-12.617.763,10.015.384,Good"
"-14.071.796,27.926.357,-3.340.104,-28.576.877,27.492.368,61.601.434,24.992.201,Good"
"8.558.166,12.030.268,18.802.083,-25.501.695,14.189.698,35.443.141,49.000.363,Good"
"-13.507.813,24.894.829,14.304.658,6.715.827,-18.782.854,951.154,296.545,Good"
"9.914.844,51.841.984,16.765.497,-23.307.484,95.644.586,24.425.776,-5.607.936,Good"
"-23.830.835,8.905.038,93.803.346,-11.117.432,-17.490.042,-3.403.161,83.675.563,Good"
"-61.294.705,18.067.584,24.361.484,-19.250.826,-17.436.239,14.010.777,2.288.016,Good"
"22.411.853,84.250.057,28.384.227,-10.845.993,-13.412.333,11.817.379,4.041.413,Good"
"-9.101.755,12.332.983,2.743.155,-23.926.618,-7.775.395,26.243.303,8.962.957,Good"
"-15.006.419,20.883.923,29.923.453,-9.739.311,-1.474.009,63.706.154,15.446.566,Good"
"-25.373.845,16.389.487,35.910.313,31.396.222,-13.156.747,9.795.733,6.401.903,Good"
"9.910.191,94.641.423,28.795.435,-12.508.805,-17.867.883,-4.301.839,50.021.803,Good"
"-2.491.844,15.087.562,26.241.438,-8.236.021,-19.812.828,-16.943.909,-9.696.699,Good"
"-31.789.606,11.392.547,15.037.472,99.720.456,-18.837.894,-7.635.049,-3.977.955,Good"
"-12.926.863,10.164.229,-12.696.705,-39.166.086,-15.447.445,37.554.595,96.322.817,Good"
"-20.456.908,40.316.343,-8.017.385,-35.487,-18.071.352,16.394.401,16.521.041,Good"
"5.527.285,24.811.482,3.378.387,-97.779.725,-63.276.196,27.967.105,37.804.706,Good"
"-29.791.064,21.195.624,17.627.462,579.804,-2.237.622,-16.141.383,15.693.439,Good"
"-34.894.245,2.754.946,22.932.074,-4.405.996,-5.427.671,13.065.027,-14.990.939,Good"
"-24.883.747,15.834.538,4.042.453,-25.080.773,-29.945.555,-1.363.419,16.077.085,Good"
"-14.358.321,20.886.369,38.440.995,-8.071.549,-20.644.312,96.470.135,-4.709.186,Good"
"-12.314.606,25.201.173,31.333.196,23.460.701,-12.689.768,38.314.658,24.250.652,Good"
"-2.783.793,13.410.656,-18.494.588,-39.282.997,-19.445.719,32.754.896,-12.978.934,Good"
"-29.642.713,35.510.862,14.882.039,-2.442.372,-271.868,5.189.952,16.373.067,Good"
"-7.464.341,4.467.323,7.663.389,-16.790.918,-6.848.459,32.980.306,12.442.784,Good"
"-39.161.975,-122.858.696,-27.392.483,-27.788.913,-26.971.197,38.852.055,17.489.569,Good"
"80.899.686,10.405.182,9.270.456,-1.971.275,-7.965.269,20.763.683,24.157.097,Good"
"-9.433.976,15.821.513,28.039.166,-12.498.137,-27.242.537,29.427.186,17.555.412,Good"
"37.892.204,29.445.722,16.977.936,-7.315.093,73.299.015,17.219.107,3.707.167,Good"
"-5.946.865,41.238.503,4.709.054,37.404.647,20.973.636,-31.928.756,20.092.573,Good"
"22.932.742,15.865.723,-7.430.844,-29.874.475,-119.411.135,43.980.627,4.166.342,Good"
"-27.345.324,46.899.188,36.082.703,-5.347.766,-13.119.143,44.794.765,-20.187.516,Good"
"-19.068.239,3.851.981,32.440.937,18.648.733,-10.504.375,-1.091.194,11.070.977,Good"
"-20.403.066,1.761.035,27.827.795,-4.386.694,-21.079.113,8.863.891,10.032.189,Good"
"101.311.676,20.018.764,15.226.274,-23.955.681,-17.601.091,26.122.048,21.556.845,Good"
"-40.816.793,71.386.003,28.913.796,-15.179.287,-2.457.463,13.364.357,-11.656.158,Good"
"-10.486.403,11.524.066,41.919.985,35.355.726,-20.250.416,-18.870.176,10.889.155,Good"
"-11.335.042,2.595.493,4.866.452,87.467.813,-22.498.442,-13.594.507,19.101.727,Good"
"-31.489.024,12.248.005,4.061.204,6.180.992,-19.439.071,-3.099.792,38.953.073,Good"
"-28.195.653,3.064.811,-10.381.027,-29.155.157,-2.311.728,39.349.577,18.806.592,Good"
"-20.923.023,2.118.166,5.417.836,-62.108.827,-22.218.654,1.834.561,20.531.194,Good"
"3.834.478,897.401,15.231.929,-20.932.763,-2.244.587,26.360.278,20.414.114,Good"
"10.370.663,24.306.793,22.763.114,65.116.286,-25.838.754,15.440.638,3.467.182,Good"
"-6.398.944,9.465.741,47.684.845,-8.242.163,-17.719.982,11.591.349,25.571.907,Good"
"-31.797.884,13.357.236,-11.879.327,-25.492.415,-26.304.514,39.218.671,18.496.125,Good"
"-2.288.669,8.448.551,18.118.983,-41.177.893,119.593.024,22.845.974,20.982.778,Good"
"-20.764.112,2.043.855,29.139.793,-2.876.336,-2.090.382,28.069.582,2.084.556,Good"
"-15.474.255,15.695.269,42.279,-17.798.289,-15.099.224,16.604.748,24.294.333,Good"
"-37.533.436,28.442.593,15.521.616,-316.837,-11.289.225,20.499.568,7.019.183,Good"
"-44.321.265,44.070.712,2.335.733,-2.925.284,-25.221.903,-41.596.073,703.406,Good"
"-16.382.266,2.684.346,3.910.854,-10.257.905,-21.027.284,46.404.278,15.620.668,Good"
"-23.557.632,10.109.509,-1.437.248,-4.717.896,-16.858.432,14.183.009,-27.951.524,Good"
"6.652.705,4.4399,12.984.489,1.076.946,-20.384.564,-9.889.517,21.102.448,Good"
"-19.920.906,19.102.303,13.445.127,-511.767,-15.622.079,15.172.641,-48.056.728,Good"
"-27.208.352,23.555.584,27.619.376,11.738.566,-2.784.914,-2.253.302,45.568.386,Good"
"-33.727.565,30.979.586,25.341.446,-7.118.889,-30.110.162,17.580.922,15.287.703,Good"
"-4.637.905,1.940.759,89.401.203,-11.727.266,-19.735.245,19.072.537,17.446.276,Good"
"24.136.446,31.287.093,16.906.534,-9.366.291,-1.114.682,29.191.206,3.868.508,Good"
"-26.914.623,15.385.147,27.460.656,-18.858.887,-30.446.897,11.312.519,6.582.676,Good"
"-2.495.543,13.978.664,4.166.338,-8.978.732,-15.433.289,43.189.336,17.268.423,Good"
"-20.634.022,19.231.318,26.519.978,-1.322.018,-49.245.808,13.315.578,4.222.984,Good"
"8.254.032,1.144.252,23.829.045,-13.697.426,-4.282.149,2.688.284,33.555.858,Good"
"-24.024.706,-1.833.402,11.797.493,-19.877.608,-3.567.511,18.535.817,21.492.766,Good"
"5.512.138,17.743.944,-28.449.392,-33.732.417,-9.277.074,4.038.252,11.840.827,Good"
"-13.986.245,6.800.605,30.668.328,-9.330.329,-36.318.078,60.624,7.196.553,Good"
"-26.369.986,41.422.808,5.779.548,-40.977.672,-21.215.363,7.928.009,25.397.336,Good"
"-18.850.018,30.463.073,8.336.923,-61.377,-895.446,21.483.479,17.828.413,Good"
"-7.543.916,-46.354.285,-7.900.148,-19.427.352,-21.549.485,13.972.274,3.007.535,Good"
"5.541.449,1.041.616,10.064.679,-86.820.585,-14.659.147,35.345.432,3.907.789,Good"
"-3.269.604,-5.161.449,29.882.755,-36.726.162,-24.422.283,23.182.118,41.637.796,Good"
"-7.984.637,35.661.826,-16.030.124,-4.015.167,31.097.206,41.217.337,8.391.781,Good"
"-9.926.312,8.870.187,13.021.058,-15.465.919,-34.131.021,8.800.974,-6.941.471,Good"
"-33.135.228,15.492.625,20.590.064,-2.855.978,-21.287.358,19.442.016,-36.516.067,Good"
"-12.225.486,22.682.679,74.154.997,-1.309.702,-14.674.361,3.996.032,2.033.645,Good"
"-30.545.516,13.621.641,-24.213.475,-34.885.356,-6.630.693,45.097.203,10.240.321,Good"
"-4.103.287,20.425.649,26.152.735,-1.677.671,-25.401.845,44.851.086,10.124.984,Good"
"7.598.115,18.388.226,24.265.797,-10.202.588,-20.197.241,8.844.993,28.712.158,Good"
"-17.563.207,-35.278.964,35.137.627,-27.962.918,-12.602.236,22.917.426,12.123.517,Good"
"-9.444.106,19.130.572,19.279.808,-55.141.527,-11.064.999,25.868.455,25.041.502,Good"
